"","session","person","ListenerChoice","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2"
"54","18122022_1115","18122022_1115_2","0",-0.0478750768362246,-0.0454105114609116,0.0101288324069384,0.0420699282188714,0.279438469691536,0.323327605736997,0.301270505834385,0.315974903471876,0.344531954649115,0.302275375672229,0.300034583179478,0.407111800234115,0.304977222492298,0.342914566602522,0.309958342238666,0.330526856081423,0.615137921722903,0.565469838016043,0.837524573732837,0.820728407200656
"55","18122022_1115","18122022_1115_1","1",-0.0754639185425816,-0.0523204411326307,-0.0492314320212948,-0.0240022654854677,0.309313801718612,0.326800966657137,0.324167056714499,0.346466152515434,0.299878816987274,0.368270008402996,0.337951936795458,0.373684768255161,0.299973113086225,0.33209158688103,0.292386901270441,0.325675635999819,0.488526868304382,0.512555103565928,0.478394986245461,0.527938210617597
"56","18122022_1115","18122022_1115_2","1",0.0030273293538275,-0.0113285352726392,-0.0583561337563906,0.00100863861512013,0.31650400500429,0.298170230741816,0.379074049031423,0.34535454590941,0.332195681962461,0.341561318142148,0.423220944560223,0.409295323102139,0.362604982900969,0.335177728819136,0.281636917113297,0.323828058591104,0.555177453461982,0.554058635109763,0.683335219239057,0.768031361557581
"57","20112022_1545","20112022_1545_1","0",0.00107146280400522,0.00214701795180218,0.0147247567119684,0.0219774680472306,0.373493334019305,0.373387587171316,0.366071162823466,0.348662014605974,0.338985833786902,0.321761447454511,0.327786552923526,0.343583624947911,0.353219727085887,0.331685933186566,0.346281681642538,0.364818226525601,0.396983658028703,0.379909513182301,0.343258440646529,0.333296336155795
"58","20112022_1545","20112022_1545_2","1",-0.0132883433915336,-0.00971519031155176,0.0127160795493695,0.00558020197192103,0.377450591779812,0.380623331524299,0.37176820094041,0.373690143397333,0.364536095458162,0.342784757105748,0.362847799171582,0.404190933981603,0.377417589184166,0.361213795457976,0.356989403129377,0.387602998211007,0.350048229018164,0.346163228470214,0.366748453211905,0.357538364422309
"59","20112022_1545","20112022_1545_1","1",-0.0107197565675611,-0.0387118290569627,-0.0343196280083208,-0.0246834467969746,0.391580297072922,0.38112583745395,0.373516895990296,0.350952616685056,0.361433117803839,0.338382142836535,0.37889181637612,0.417986987369757,0.364295780850341,0.381096416909772,0.346354184687154,0.38679041227962,0.385874094018372,0.40540560435469,0.328054150855483,0.35137179663247
"60","20112022_1545","20112022_1545_2","1",-0.0493313378485691,0.0373369374356067,0.0475672889444568,0.0523928748293194,0.401991845510195,0.396809372354214,0.389035310984231,0.390551347627079,0.317277344937546,0.326418362685905,0.340632036918951,0.39977043403351,0.364781970405003,0.350803325500595,0.392629370408981,0.352084901705,0.380445683614202,0.342565071615216,0.400495375424722,0.364124481746012
"61","20122022_0830","20122022_0830_1","0",0.0637636139032415,-0.0354769209630409,-0.0468559494400103,0.0550109523305093,0.438693718972704,0.456379498343848,0.354383843299857,0.394323534729534,0.387976226573208,0.309745519271571,0.384000115842596,0.369683943749436,0.388359904114144,0.393458200336013,0.338626560552968,0.387008044978645,0.147387148081252,0.132016867120059,0.573488879554004,0.629873569631024
"62","20122022_0830","20122022_0830_2","1",-0.0200463038668397,-0.0252791355605806,-0.0359629489761735,-0.00344287925952277,0.387731681289053,0.35294707383324,0.334141601475821,0.329320784496311,0.356608619358673,0.337389417242293,0.352151645123621,0.400368183923597,0.353325611185128,0.344479701986195,0.359148200546335,0.404949760798212,0.200207774269088,0.201591119346416,0.257115443285783,0.276298584759552
"63","20122022_0830","20122022_0830_1","0",0.0204089833133691,0.0426581885355985,-0.246545275357968,-0.0376673099880511,0.407272578920594,0.351898388524441,0.373578590740535,0.359827422455915,0.359916149527815,0.350967742936036,0.36771187782658,0.34755401720304,0.400644374284922,0.361396474168573,0.391551112428779,0.365976955228825,0.169228607640741,0.182476388764691,0.475168350702507,0.786137299556069
"64","20122022_0830","20122022_0830_2","0",-0.0408556127085709,0.0131931067805953,-0.0333877143987438,-0.11923283282199,0.416267226488381,0.392561356328948,0.328935062851622,0.323486675849711,0.318976670797567,0.357393615934125,0.317877908370608,0.333715743604816,0.376158869076862,0.347832203209752,0.373113807308633,0.381927441827264,0.191805121013404,0.243735912215503,0.235357575427298,0.251616527702169
"65","20122022_1030","20122022_1030_1","0",-0.00690129966656365,-0.0542617089452194,-0.00358981271256765,-0.0459945241235289,0.404251376950792,0.399206594366335,0.335768031253254,0.369340926064382,0.390128362499604,0.362634399427974,0.374143278227603,0.412259483816606,0.322026981108748,0.353029421424365,0.324022550136182,0.367154258686443,0.185168183568477,0.203022845205981,0.695565565862099,0.700577457837138
"66","20122022_1030","20122022_1030_2","1",0.00414727590332998,0.00238792809304453,-0.0895124954752353,0.0651047542440269,0.347951032510017,0.384168814577361,0.376740632915767,0.389987868399831,0.331248332703491,0.336360553009621,0.372526858550702,0.361601248192951,0.380942266383573,0.336232527628377,0.335616125699018,0.376911837076578,0.376904458541548,0.330827728437678,0.318935363228313,0.381646164015783
"67","20122022_1030","20122022_1030_1","0",-0.0645088083443064,0.00758146912302196,-0.0421128895706937,0.115701344933509,0.324384461276477,0.361055704260589,0.331776128223865,0.334289038362563,0.319691716666206,0.333337371275769,0.326244636921961,0.401682845010222,0.364999283478185,0.340878101244917,0.348564999438114,0.361947862748288,0.278702187709402,0.220897797492751,0.683791565526342,0.743916476645517
"68","20122022_1030","20122022_1030_2","0",-0.0420988387410934,-0.0249332092764209,-0.181488066479624,0.078737345402328,0.392783053934956,0.395185836721503,0.348996837868777,0.395391960315734,0.329321856822494,0.34656902516664,0.373355389214768,0.417872205015041,0.395991744518436,0.381279396901559,0.356405124214572,0.409596207371447,0.364984860613561,0.311704163214451,0.507598727196651,0.732697733756571
